genus,is_lichen,what_is
Acremonium,no,pathogen (on lichen)
Agyrium,no,saprotroph
Akanthomyces,no,fungus
Albifimbria,no,fungus
Alternaria,no,pathogen
Ambrosiella,no,pathogen
Apiospora,no,pathogen
Aplosporella,no,pathogen
Arcopilus,no,fungus
Arthroderma,no,pathogen
Aschersonia,no,pathogen
Ascosphaera,no,pathogen
Asordaria,no,caprotroph
Aspergillus,no,mold
Aureobasidium,no,yeast
Barbatosphaeria,no,funus
Beauveria,no,pathogen
Bipolaris,no,pathogen
Blastomyces,no,pathogen
Blumeria,no,pathogen
Boeremia,no,pathogen
Bogoriella,yes,
Botryosphaeria,no,pathogen
Botrytis,no,pathogen
Caeruleum,yes,
Calonectria,no,pathogen
Candelaria,yes,
Candelina,yes,
Ceratocystis,no,pathogen
Cercospora,no,pathogen
Cirrosporium,no,fungus
Cladosporium,no,mold
Clarireedia,no,pathogen
Claussenomyces,no,saprotroph
Clonostachys,no,pathogen
Coccidioides,no,pathogen
Collariella,no,saprotroph
Colletotrichum,no,pathogen
Coniothyrium,no,pathogen
Cordyceps,no,pathogen
Cornechiniscus,no,tardigrade
Corynespora,no,pathogen
Curvularia,no,mold
Cytospora,no,pathogen
Diaporthe,no,pathogen
Diatrype,no,fungus
Didymella,no,pathogen
Didymellaceae,no,generalist/family
Didymosphaeriaceae,no,saprotroph/family
Diplocarpon,no,pathgoen
Diplodia,no,saprotroph
Dothideomycetes,yes,class
Dothiora,no,necrotroph
Drechslerella,no,predator
Drepanopeziza,no,pathogen
Elsinoe,no,pathogen
Emericellopsis,no,saprotroph
Epichloe,no,pathogen
Erysiphe,no,pathogen
Escovopsis,no,pathogen
Exophiala,no,pathogen
Exserohilum,no,pathogen
Fodinomyces,no,acidophile
Fulvia,no,mold
Fusarium,no,mold
Gamszarea,no,fungus
Geoglossum,no,fungus
Gnomoniaceae,no,pathogen
Gnomoniopsis,no,pathogen
Grosmannia,no,pathogen
Heterodea,yes,
Histoplasma,no,pathogen
Hymenoscyphus,no,pathogen
Hypocrella,no,pathogen
Kalmusia,no,pathogen
Keithomyces,no,pathogen
Knufia,no,black fungus
Lachnum,no,fungus
Lambiella,yes,
Lasiodiplodia,no,pathogen
Lecanicillium,no,pathogen
Leptographium,no,pathogen
Leptosphaerulina,no,pathogen
lichen,yes,
Lichina,yes,
Lomentospora,no,pathogen
Macrophomina,no,pathogen
Madurella,no,pathogen
Mariannaea,no,saprotroph
Metarhizium,no,pathogen
Microascus,no,pathogen
Microdochium,no,pathogen
Monascus,no,fungus
Monilinia,no,pathogen
Morchella,no,fungus
Myriolecis,yes,
Nalanthamala,no,necrotroph
Neoarthrinium,no,pathogen
Neoascochyta,no,saprotroph
Neocatenulostroma,no,pathogen
Neocucurbitaria,no,saprotroph
Neodidymelliopsis,no,saprotroph
Neofusicoccum,no,pathogen
Neonectria,no,pathogen
Neopestalotiopsis,no,pathogen
Neophaeococcomyces,no,saprotroph
Neoscytalidium,no,saprotroph
Neurospora,no,fungus
Nothopassalora,no,pathogen
Nothophoma,no,pathogen
Ophidiomyces,no,pathogen
Ophiocordyceps,no,pathogen
Ophiostoma,no,pathogen
Paecilomyces,no,pathogen
Paracoccidioides,no,pathogen
Paraconiothyrium,no,saprotroph
Parafenestella,no,saprotroph
Paramyrothecium,no,pathogen
Paraphaeosphaeria,no,saprotroph
Parascedosporium,no,pathogen
Passalora,no,pathogen
Penicillium,no,pathogen/saprotroph
Pestalotiopsis,no,pathogen
Phaeophleospora,no,pathogen
Phialocephala,no,saprotroph
Phyllachora,no,pathogen
Phylliscum,yes,
Piccolia,yes,
Plenodomus,no,pathogen/saprotroph
Pleopsidium,yes,
Podosphaera,no,pathogen
Podospora,no,saprotroph
Protoparmeliopsis,yes,
Pseudephebe,yes,
Pseudocercospora,no,pathogen
Pseudocyphellaria,yes,
Pseudofabraea,no,pathogen
Pseudopyrenochaeta,no,
Pseudopyricularia,no,pathogen
Psiloparmelia,yes,
Purpureocillium,no,pathogen/saprotroph
Pycnora,yes,
Pyrenochaeta,no,pathogen/saprotroph
Pyrenophora,no,pathogen/saprotroph
Pyricularia,no,pathogen
Rhizoplaca,yes,
Rhynchosporium,no,pathogen
Robillarda,no,pathogen/saprotroph
Roussoella,no,saprotroph
Sarcinomyces,no,saprotroph
Sarcosagium,yes,
Sartorya,no,saprotroph
Schizothecium,no,coprotroph
Sclerophora,yes,
Sclerotinia,no,pathogen/saprotroph
Scopulariopsis,no,pathogen
Septoriella,no,saprotroph
Simplicillium,no,pathogen
Spathularia,no,fungus
Sphaeria,no,saprotroph
Sphaerostilbella,no,pathogen
Sphaerulina,no,pathogen/saprotroph
Sporothrix,no,pathogen/saprotroph
Stemphylium,no,pathogen/saprotroph
Streptomyces,no,bacteria
Sympodiorosea,no,pathogen
Talaromyces,no,pathogen/saprotroph
Teratosphaeria,no,pathogen/saprotroph
Thelocarpon,yes,but also no…
Thermothelomyces,no,saprotroph
Trichoderma,no,saprotroph
Trichoglossum,no,fungus
Trichophyton,no,pathogen
Trichothecium,no,pathogen
Trizodia,no,bryophyte symbiont
Truncatella,no,pathogen
unclassified,no,
Ustilaginoidea,no,pathogen
Valsa,no,saprotroph
Varicosporium,no,saprotroph
Venturia,no,pathogen
Venturiaceae,no,pathogen/family
Verticillium,no,pathogen
Vezdaea,yes,
Watsoniomyces,yes,
Xylariaceae,no,family of fungi
Xylona,no,saprotroph
Zalaria,no,black yeast
Zalerion,no,saprotroph
Zymoseptoria,no,pathogen