bac_genus2	occ_total	bac_family	bac_order	bac_phylum
Lichenihabitans	139	Beijerinckiaceae	Rhizobiales	Proteobacteria
CAHJXG01	103	Acetobacteraceae	Acetobacterales	Proteobacteria
Acetobacteraceae gen. sp.	79	Acetobacteraceae	Acetobacterales	Proteobacteria
LMUY01	79	Acetobacteraceae	Acetobacterales	Proteobacteria
EB88	59	Acidobacteriaceae	Acidobacteriales	Acidobacteriota
RH-AL1	59	Beijerinckiaceae	Rhizobiales	Proteobacteria
CAIMSN01	56	Acetobacteraceae	Acetobacterales	Proteobacteria
CAHJWO01	54	UBA10450	Chthoniobacterales	Verrucomicrobiota
Terriglobus	45	Acidobacteriaceae	Acidobacteriales	Acidobacteriota
Nostoc	43	Nostocaceae	Cyanobacteriales	Cyanobacteria
Sphingomonas	43	Sphingomonadaceae	Sphingomonadales	Proteobacteria
CAHJWL01	40	Acidobacteriaceae	Acidobacteriales	Acidobacteriota
VCDI01	40	Acetobacteraceae	Acetobacterales	Proteobacteria
Tous-C9LFEB	37	Acidobacteriaceae	Acidobacteriales	Acidobacteriota
BOG-908	35	Acetobacteraceae	Acetobacterales	Proteobacteria
Granulicella_C	33	Acidobacteriaceae	Acidobacteriales	Acidobacteriota
Bryobacteraceae gen. sp.	32	Bryobacteraceae	Bryobacterales	Acidobacteriota
Methylobacterium	25	Beijerinckiaceae	Rhizobiales	Proteobacteria
Capsulimonadaceae gen. sp.	24	Capsulimonadaceae	Armatimonadales	Armatimonadota
CAHJWH01	23	Caulobacteraceae	Caulobacterales	Proteobacteria
DTNP01	22	Ktedonobacteraceae	Ktedonobacterales	Chloroflexota
Bog-532	17	Streptosporangiaceae	Streptosporangiales	Actinobacteriota
Sphingomonas_N	17	Sphingomonadaceae	Sphingomonadales	Proteobacteria
Ktedonobacteraceae gen. sp.	15	Ktedonobacteraceae	Ktedonobacterales	Chloroflexota
Enterovirga	13	Beijerinckiaceae	Rhizobiales	Proteobacteria
PMMR1	13	Caulobacteraceae	Caulobacterales	Proteobacteria
UBA10450 gen. sp.	12	UBA10450	Chthoniobacterales	Verrucomicrobiota
Bryocella	11	Acidobacteriaceae	Acidobacteriales	Acidobacteriota
HMF7410	11	Sphingobacteriaceae	Sphingobacteriales	Bacteroidota
CAHJWT01	10	Sphingomonadaceae	Sphingomonadales	Proteobacteria
Caulobacteraceae gen. sp.	10	Caulobacteraceae	Caulobacterales	Proteobacteria
Hymenobacter	10	Hymenobacteraceae	Cytophagales	Bacteroidota
Amnibacterium	9	Microbacteriaceae	Actinomycetales	Actinobacteriota
CAHJXF01	9	Burkholderiaceae	Burkholderiales	Proteobacteria
Jatrophihabitans	8	Jatrophihabitantaceae	Mycobacteriales	Actinobacteriota
Sphingomonadaceae gen. sp.	8	Sphingomonadaceae	Sphingomonadales	Proteobacteria
Cutibacterium	7	Propionibacteriaceae	Propionibacteriales	Actinobacteriota
Dictyobacter	7	Ktedonobacteraceae	Ktedonobacterales	Chloroflexota
Rhizobacter	7	Burkholderiaceae	Burkholderiales	Proteobacteria
Sphingomonas_I	7	Sphingomonadaceae	Sphingomonadales	Proteobacteria
Spirosoma	7	Spirosomaceae	Cytophagales	Bacteroidota
Friedmanniella	6	Propionibacteriaceae	Propionibacteriales	Actinobacteriota
GCA-002050365	6	Pyrinomonadaceae	Pyrinomonadales	Acidobacteriota
Jatrophihabitantaceae gen. sp.	6	Jatrophihabitantaceae	Mycobacteriales	Actinobacteriota
Kineosporia	6	Kineosporiaceae	Actinomycetales	Actinobacteriota
Nakamurella	6	Nakamurellaceae	Mycobacteriales	Actinobacteriota
Pseudonocardia	6	Pseudonocardiaceae	Mycobacteriales	Actinobacteriota
SCSIO-52909	6	Rubrobacteraceae	Rubrobacterales	Actinobacteriota
Sphingomonas_G	6	Sphingomonadaceae	Sphingomonadales	Proteobacteria
Aestuariivirga	5	Aestuariivirgaceae	Rhizobiales	Proteobacteria
Baltobacteraceae gen. sp.	5	Baltobacteraceae	Baltobacterales	Eremiobacterota
CAIVAU01	5	Nostocaceae	Cyanobacteriales	Cyanobacteria
Granulicella_B	5	Acidobacteriaceae	Acidobacteriales	Acidobacteriota
Tardiphaga	5	Xanthobacteraceae	Rhizobiales	Proteobacteria
Truepera	5	Trueperaceae	Deinococcales	Deinococcota
Unknown gen. sp.	5	Unknown	Hat2	Chlamydiota
Unknown gen. sp.	5	Unknown	Actinomycetales	Actinobacteriota
Unknown gen. sp.	5	Unknown	Chthoniobacterales	Verrucomicrobiota
WQZC01	5	Jatrophihabitantaceae	Mycobacteriales	Actinobacteriota
CADCWK01	4	UBA6265	Thermomicrobiales	Chloroflexota
CAIOYC01	4	Caulobacteraceae	Caulobacterales	Proteobacteria
Calothrix	4	Nostocaceae	Cyanobacteriales	Cyanobacteria
Chroococcidiopsidaceae gen. sp.	4	Chroococcidiopsidaceae	Cyanobacteriales	Cyanobacteria
KBS-83	4	Acidobacteriaceae	Acidobacteriales	Acidobacteriota
Mucilaginibacter	4	Sphingobacteriaceae	Sphingobacteriales	Bacteroidota
Nyctobacter	4	Baltobacteraceae	Baltobacterales	Eremiobacterota
Palsa-465	4	Solirubrobacteraceae	Solirubrobacterales	Actinobacteriota
Propionibacteriaceae gen. sp.	4	Propionibacteriaceae	Propionibacteriales	Actinobacteriota
QHXN01	4	Pyrinomonadaceae	Pyrinomonadales	Acidobacteriota
Rhodopila	4	Acetobacteraceae	Acetobacterales	Proteobacteria
Spirosomaceae gen. sp.	4	Spirosomaceae	Cytophagales	Bacteroidota
Trebonia	4	Streptosporangiaceae	Streptosporangiales	Actinobacteriota
Variovorax	4	Burkholderiaceae	Burkholderiales	Proteobacteria
Abditibacterium	3	Abditibacteriaceae	Abditibacteriales	Armatimonadota
Actinoplanes	3	Micromonosporaceae	Mycobacteriales	Actinobacteriota
Armatimonadaceae gen. sp.	3	Armatimonadaceae	Armatimonadales	Armatimonadota
Aureimonas_A	3	Rhizobiaceae	Rhizobiales	Proteobacteria
Caballeronia	3	Burkholderiaceae	Burkholderiales	Proteobacteria
CAJCIS01	3	Acetobacteraceae	Acetobacterales	Proteobacteria
Flavihumibacter	3	Chitinophagaceae	Chitinophagales	Bacteroidota
Hassallia	3	Nostocaceae	Cyanobacteriales	Cyanobacteria
Microbacterium	3	Microbacteriaceae	Actinomycetales	Actinobacteriota
Novosphingobium	3	Sphingomonadaceae	Sphingomonadales	Proteobacteria
Palsa-955	3	Chitinophagaceae	Chitinophagales	Bacteroidota
Pyrinomonadaceae gen. sp.	3	Pyrinomonadaceae	Pyrinomonadales	Acidobacteriota
SCTD01	3	SCTD01	Mycobacteriales	Actinobacteriota
SEOHO-28	3	Solirubrobacteraceae	Solirubrobacterales	Actinobacteriota
Solirubrobacteraceae gen. sp.	3	Solirubrobacteraceae	Solirubrobacterales	Actinobacteriota
UBA1936	3	Sphingomonadaceae	Sphingomonadales	Proteobacteria
Acidisphaera	2	Acetobacteraceae	Acetobacterales	Proteobacteria
Acidocella	2	Acetobacteraceae	Acetobacterales	Proteobacteria
Beijerinckiaceae gen. sp.	2	Beijerinckiaceae	Rhizobiales	Proteobacteria
Bog-113	2	Bryobacteraceae	Bryobacterales	Acidobacteriota
CAIQPK01	2	Acidobacteriaceae	Acidobacteriales	Acidobacteriota
CAJCIY01	2	CAJCIY01	Mycobacteriales	Actinobacteriota
CF-113	2	Ktedonobacteraceae	Ktedonobacterales	Chloroflexota
Chitinophagaceae gen. sp.	2	Chitinophagaceae	Chitinophagales	Bacteroidota
Chthoniobacteraceae gen. sp.	2	Chthoniobacteraceae	Chthoniobacterales	Verrucomicrobiota
Ferruginibacter	2	Chitinophagaceae	Chitinophagales	Bacteroidota
Fibrella	2	Spirosomaceae	Cytophagales	Bacteroidota
Fimbriimonas	2	Fimbriimonadaceae	Fimbriimonadales	Armatimonadota
GCA-003244245	2	Pseudonocardiaceae	Mycobacteriales	Actinobacteriota
JAAFHZ01	2	Chamaesiphonaceae	Cyanobacteriales	Cyanobacteria
JAAFIG01 gen. sp.	2	JAAFIG01	Deinococcales	Deinococcota
JACCTI01	2	UBA10450	Chthoniobacterales	Verrucomicrobiota
JACCYX01	2	UBA6265	Thermomicrobiales	Chloroflexota
JACMJD01	2	UBA1161	UBA1161	Planctomycetota
JACMLC01	2	Pyrinomonadaceae	Pyrinomonadales	Acidobacteriota
JACMOY01	2	Angustibacteraceae	Actinomycetales	Actinobacteriota
KBS-96	2	Bryobacteraceae	Bryobacterales	Acidobacteriota
Parafilimonas	2	Chitinophagaceae	Chitinophagales	Bacteroidota
PMG-095	2	Polyangiaceae	Polyangiales	Myxococcota
Quadrisphaera	2	Quadrisphaeraceae	Actinomycetales	Actinobacteriota
Rhodanobacteraceae gen. sp.	2	Rhodanobacteraceae	Xanthomonadales	Proteobacteria
Segetibacter	2	Chitinophagaceae	Chitinophagales	Bacteroidota
Sphingomicrobium	2	Sphingomonadaceae	Sphingomonadales	Proteobacteria
UBA5172	2	Acidobacteriaceae	Acidobacteriales	Acidobacteriota
UBA5704	2	UBA5704	UBA5704	Acidobacteriota
Uzinura	2	Blattabacteriaceae	Flavobacteriales	Bacteroidota
VAYN01	2	70-9	Solirubrobacterales	Actinobacteriota
70-9 gen. sp.	1	70-9	Solirubrobacterales	Actinobacteriota
Acidobacteriaceae gen. sp.	1	Acidobacteriaceae	Acidobacteriales	Acidobacteriota
Allosphingosinicella	1	Sphingomonadaceae	Sphingomonadales	Proteobacteria
Bradyrhizobium	1	Xanthobacteraceae	Rhizobiales	Proteobacteria
C7867-001	1	UBA2163	UBA9983_A	Patescibacteria
CADCVW01	1	Sphingomonadaceae	Sphingomonadales	Proteobacteria
Chroococcidiopsis	1	Chroococcidiopsidaceae	Cyanobacteriales	Cyanobacteria
Chthonomonadaceae gen. sp.	1	Chthonomonadaceae	Chthonomonadales	Armatimonadota
Cyclobacteriaceae gen. sp.	1	Cyclobacteriaceae	Cytophagales	Bacteroidota
Deinococcaceae gen. sp.	1	Deinococcaceae	Deinococcales	Deinococcota
Deinococcus	1	Deinococcaceae	Deinococcales	Deinococcota
Devosia	1	Devosiaceae	Rhizobiales	Proteobacteria
Edaphobacter	1	Acidobacteriaceae	Acidobacteriales	Acidobacteriota
Fimbriiglobus	1	Gemmataceae	Gemmatales	Planctomycetota
Hydrocarboniphaga	1	Nevskiaceae	Nevskiales	Proteobacteria
Hymenobacteraceae gen. sp.	1	Hymenobacteraceae	Cytophagales	Bacteroidota
Hyphomicrobium	1	Hyphomicrobiaceae	Rhizobiales	Proteobacteria
Ilyomonas	1	Chitinophagaceae	Chitinophagales	Bacteroidota
Iso899	1	Jatrophihabitantaceae	Mycobacteriales	Actinobacteriota
JABFXA01	1	Nocardioidaceae	Propionibacteriales	Actinobacteriota
JACCRA01	1	Pyrinomonadaceae	Pyrinomonadales	Acidobacteriota
JACCYI01	1	Solirubrobacteraceae	Solirubrobacterales	Actinobacteriota
JACDEG01	1	Pyrinomonadaceae	Pyrinomonadales	Acidobacteriota
JACMIU01	1	Armatimonadaceae	Armatimonadales	Armatimonadota
LB1R16	1	Sphingomonadaceae	Sphingomonadales	Proteobacteria
Leptolyngbya	1	Leptolyngbyaceae	Leptolyngbyales	Cyanobacteria
Leptolyngbyaceae gen. sp.	1	Leptolyngbyaceae	Leptolyngbyales	Cyanobacteria
Lysinimonas_A	1	Microbacteriaceae	Actinomycetales	Actinobacteriota
Marisediminicola	1	Microbacteriaceae	Actinomycetales	Actinobacteriota
Massilia	1	Burkholderiaceae	Burkholderiales	Proteobacteria
Mesorhizobium_B	1	Rhizobiaceae	Rhizobiales	Proteobacteria
Mesorhizobium_D	1	Rhizobiaceae	Rhizobiales	Proteobacteria
Motilibacteraceae gen. sp.	1	Motilibacteraceae	RP-AC37	Actinobacteriota
Mycobacterium	1	Mycobacteriaceae	Mycobacteriales	Actinobacteriota
Nevskia	1	Nevskiaceae	Nevskiales	Proteobacteria
Oligoflexus	1	Oligoflexaceae	Oligoflexales	Bdellovibrionota
Pedobacter	1	Sphingobacteriaceae	Sphingobacteriales	Bacteroidota
Polaromonas	1	Burkholderiaceae	Burkholderiales	Proteobacteria
Polyangiaceae gen. sp.	1	Polyangiaceae	Polyangiales	Myxococcota
Pseudobdellovibrio	1	Bdellovibrionaceae	Bdellovibrionales	Bdellovibrionota
Rhodobacteraceae gen. sp.	1	Rhodobacteraceae	Rhodobacterales	Proteobacteria
Rhodomicrobiaceae gen. sp.	1	Rhodomicrobiaceae	Rhizobiales	Proteobacteria
Rhodopseudomonas	1	Xanthobacteraceae	Rhizobiales	Proteobacteria
Rhodovarius	1	Acetobacteraceae	Acetobacterales	Proteobacteria
Roseomonas	1	Acetobacteraceae	Acetobacterales	Proteobacteria
Rubrivivax	1	Burkholderiaceae	Burkholderiales	Proteobacteria
SCTD01 gen. sp.	1	SCTD01	Mycobacteriales	Actinobacteriota
SCTI01 gen. sp.	1	SCTI01	UBA4664	Patescibacteria
Sphingobium	1	Sphingomonadaceae	Sphingomonadales	Proteobacteria
Spiroplasma_C	1	MT37	Mycoplasmatales	Firmicutes
Steroidobacteraceae gen. sp.	1	Steroidobacteraceae	Steroidobacterales	Proteobacteria
UBA11358	1	UBA11358	Pedosphaerales	Verrucomicrobiota
UBA1315	1	Akkermansiaceae	Verrucomicrobiales	Verrucomicrobiota
UBA2316	1	Bdellovibrionaceae	Bdellovibrionales	Bdellovibrionota
UBA2796 gen. sp.	1	UBA2796	SBR1031	Chloroflexota
UBA4665 gen. sp.	1	UBA4665	Saccharimonadales	Patescibacteria
